MeetingID|GroupName|Address|Area|State|PostCode|Day_Time|Contact|PartialMatch|FormattedAddress|Exact_Lat|Exact_Lng
"1"|"Aashraya Group."|"St. Anthony's Church Vaddy,"|"Kollam"|"Kerala"|"691006"|"Wed 7.00 pm"|"09895588945"|"true"|"Mulakkada Mukku-Vaddy Rd, Thangasherry East, Thangassery, Kollam, Kerala 691013, India"|"8.885396200"|"76.576060400"
"2"|"Norbert Bhavan Group."|"Norbert Bhavan, Eravipuram Jn."|"Kollam"|"Kerala"|"691011"|"Thu 7.00 pm"|"09947731123"|"true"|"Norbert Bhavan, Eravipuram Jn., Kollam, Kerala - 691011"|"8.859614000"|"76.619610000"
"3"|"Friday Group."|"YMCA,"|"Kollam"|"Kerala"|"673019"|"Fri 7.00 pm"|"09048263719"|"true"|"YMCA Road, Chinnakkada, Kollam, Karbala, Kerala, 691001, India"|"8.883882100"|"76.592063900"
"4"|"Hope Group."|"Cherupushpam School, Ayoor, Kollam"|"Kollam Dist"|"Kerala"|"691533"|"Mon 6.30 pm (Closed Meeting)"|"09496106939"|"true"|"SH 1, Edamulackal, Kerala 691533, India"|"8.901039300"|"76.859078500"
"5"|"Orion Group."|"Marthoma Church, Kollaka, Near Kannety, Karunagappally"|"Kollam Dist"|"Kerala"|"690518"|"Tue 7.00 pm (Closed Meeting)"|"09497688496, 09846508524"|"true"|"Kollaka, Karunagappally, Kerala 690536, India"|"9.040367300"|"76.540243000"
"6"|"Jeevan Group."|"Kadavoor, L.P. School, Kadavoor, Kollam"|"Kollam Dist"|"Kerala"|"686671"|"Tue 7.00 pm (Closed Meeting)"|"09605986693, 09446018696"|"true"|"Kadavoor, L.P. School, Kadavoor, Kollam, Kollam Dist, Kerala - 686671"|"10.001008000"|"76.741588000"
"7"|"New Vision Group."|"St. Mary's L.P.S, Anjilimoodu, Sasthamcotta"|"Kollam Dist"|"Kerala"|"690521"|"Wed 7.00 pm (Closed Meeting)"|"09656683354"|"true"|"St. Mary's L.P.S, Anjilimoodu, Sasthamcotta, Kollam Dist, Kerala - 690521"|"9.036461000"|"76.623942000"
"8"|"Light House Group."|"Infant Jesus H.S.S., Thangassery, Kollam"|"Kollam Dist"|"Kerala"|"691007"|"Wed 7.00 pm (Closed Meeting)"|"09895135872"|"true"|"Thangasherry East, Thangassery, Kerala 691007, India"|"8.884521600"|"76.565045400"
"9"|"Bodhi Group."|"St. Vincent ICSE School, Keralapuram, Kollam"|"Kollam Dist"|"Kerala"|"691014"|"Fri 7.00 pm (Closed Meeting)"|"08086920986"|"true"|"PERUMPUZHA P.O., KERALAPURAM KOLLAM-691504 KERALA, Kollam-Tirumangalam Road, Keralapuram, Kerala 691014, India"|"8.946111700"|"76.661701500"
"10"|"Shanthi Group."|"Marthoma Jubilee Convention Centre, Pulamon, Kottarakkara"|"Kollam Dist"|"Kerala"|"691542"|"Sat 7.00 pm (Closed Meeting)"|"09745688026, 09961021968"|"true"|"Marthoma Jubilee Convention Centre, Pulamon, Kottarakkara, Kollam Dist, Kerala - 691542"|"9.001664000"|"76.800178000"
"11"|"Touch Up Group"|"Akshara Youth Center"|"Kondotty"|"Kerala"|"673638"|"Fri 6.30 pm"|"09947318504"|"true"|"Akshara Youth Center , Kondotty, Kerala - 673638"|"11.145840500"|"75.964258700"
"12"|"Prateeksha Group"|"Kasthurba Hospital, Thokkilangadi"|"Koothuparamba"|"Kerala"|"670643"|"Sat 6.00 pm"|"09495494247"|"true"|"Thalassery - Baveli Rd, Kerala 670643, India"|"11.842691300"|"75.569758000"
"13"|"Chaithanya Group."|"Nandavanam Auditorium, Near Temple, Ettumanoor,"|"Kottayam"|"Kerala"|"686631"|"Wed 6.30 pm"|"09447370463, 09961690406"|"true"|"Ettumanoor, Kerala 686631, India"|"9.673022300"|"76.560107100"
"14"|"Abhayam Group."|"NSS Auditorium, Near Sreekrishna Temple, Kanakkary,"|"Kottayam"|"Kerala"|"686632"|"Sat 6.45 pm"|"09447038765, 08281237602"|"true"|"NSS Auditorium, Near Sreekrishna Temple, Kanakkary,, Kottayam, Kerala - 686632"|"9.705885300"|"76.543042900"
"15"|"Gracious Group."|"Lourds Church Permises, Opp. Collectorate Kottayam,"|"Kottayam"|"Kerala"|"686004"|"Sun 4.00 pm"|"09605404575"|"true"|"Collectorate Junction, Eerayil Kadavu, Kottayam, Kerala 686002, India"|"9.587920200"|"76.534012600"
"16"|"Badseda Group."|"I.H.M. (Maryagiri) Hospital, Bharanganam, Pala,"|"Kottayam"|"Kerala"|"686575"|"Sun 2.30 pm"|"09447517163"|"true"|"Bharanaganam, Kottayam, Kerala 686578, India"|"9.703459100"|"76.720395900"
"17"|"Asraya Group."|"C.S.I. Ascension Sevana Nilayam, Near Medical College, Gandhi Nagar,"|"Kottayam"|"Kerala"|"686008"|"Fri 7.00 pm"|"09497893904"|"true"|"Gandhinagar PO, Kottayam, Kerala 686008, India"|"9.631918000"|"76.521610000"
"18"|"Athani Group."|"Baker School Permises, Baker Jn.,"|"Kottayam"|"Kerala"|"686001"|"Sat 6.30 pm"|"09447570866"|"true"|"Baker Hill, Kottayam, Kerala 686001, India"|"9.593364000"|"76.524151700"
"19"|"Puthuppally Group."|"St. George Church Compound, Puthuppally,"|"Kottayam"|"Kerala"|"686010"|"Fri 6.30 pm"|"09961663287"|"true"|"Manarcadu Thenganal Rd, Near SBI ATM, Puthuppally P.O, Kottayam, Kerala 686011, India"|"9.551932000"|"76.567169000"
"20"|"Kuamaloor Group."|"St. Mary's Church Compound, Kudamaloor,"|"Kottayam"|"Kerala"|"696017"|"Sun 7.00 pm"|"09446458546"|"true"|"Kudamaloor, Kottayam, Kerala 686017, India"|"9.622195300"|"76.513987900"
"21"|"Anugraha Group."|"St. Thomas Hospital, Cethyppuzha, Changanachery,"|"Kottayam"|"Kerala"|"686101"|"Wed 6.30 pm"|"09497226103"|"true"|"Kurisummoodu P.O, Chethipuzha Kadavu, Changanassery, Kerala 686104, India"|"9.462208800"|"76.552813400"
"22"|"Mochana Group."|"Mochana De-Adiction Center, Manganam,"|"Kottayam"|"Kerala"|"686018"|"Thu 6.30 pm"|"09446119340"|"true"|"Bethel Marthoma Church, Manganam, Kottayam, Kerala 686018, India"|"9.567919000"|"76.559339900"
"23"|"Gracious Group"|"Lourdes"|"Kottayam"|"Kerala"|"686001"|"Sun 4.30 pm"|"09447570866"|"true"|"Opp. M.D.C. Centre, K.K. Road, Kottayam, Kerala 686001, India"|"9.588863000"|"76.530247000"
"24"|"Jyothis Group"|"S.N.D.P. School, Mariyappilly P.O. Nattakom"|"Kottayam"|"Kerala"|"686013"|"Sat 7.00 pm"|"09495215755"|"true"|"Pakkil Power House Road, Pakkil, Kottayam, Kerala 686012, India"|"9.543584500"|"76.517683900"
